Time,x_cv,z_cv,ax_imu,ay_imu,theta_cv,w_imu,x_out,vx_out,ax_out,y_out,vy_out,ay_out,theta_out,w_out
0.019502,0.0,0.0,0.16759411621093748,-1.8770541015625,0.0,-0.018385911204215073,0.0,0.0,0.0,-1.5467854408432344e-05,-0.008519683028263387,-1.0867155321808168,-0.09702948326167646,-0.0003209920964192644
0.061292,0.0,0.0,0.2059013427734375,-2.013523596191406,0.0,0.0030643185340358454,0.0,0.0,0.0,-0.0009978356258652631,-0.06950007848695422,-1.4696049381333176,-0.14201536071513526,5.2572174107833156e-05
0.090105,0.0,0.0,0.20829554443359374,-2.0374656127929685,0.0,0.015188361429568975,0.0,0.0,0.0,-0.0025558382790305525,-0.12225512849340506,-1.668274475633177,-0.16520309938502903,0.0002645706211785371
0.11583,0.0,0.0,0.12689268798828124,-2.0542250244140625,0.0,0.02145022973825092,0.0,0.0,0.0,-0.004396070681037229,-0.17200034334230546,-1.7925356326919295,-0.15286370462506949,0.00037411133197497306
0.136546,0.0,0.0,0.07900865478515624,-2.0470424194335934,0.0,0.013323124061025418,0.0,0.0,0.0,-0.005852397979701617,-0.21301962267371327,-1.8711491230266835,-0.1300445001636166,0.0002328765101630725
0.169157,0.0,0.0,0.17477672119140625,-2.0733786376953125,0.0,-0.006528330789902454,0.0,0.0,0.0,-0.009672322394991778,-0.27668255116701096,-1.9323361532245271,-0.14357526649016744,-0.00011310053902184158
0.205256,0.0,0.0,0.12210428466796874,-2.0542250244140625,0.0,-0.0302434916185277,0.0,0.0,0.0,-0.014602460449054028,-0.34666211526692703,-1.9688299508882623,-0.13714706294256518,-0.000526842285899646
0.239856,0.0,0.0,0.1149216796875,-2.118868469238281,0.0,-0.02078407353519965,0.0,0.0,0.0,-0.019389111498673547,-0.4145255998018541,-2.013521133664677,-0.13053642678771954,-0.00036314806082184586
0.261653,0.0,0.0,0.08140285644531249,-1.9895815795898437,0.0,0.0010658499248820332,0.0,0.0,0.0,-0.020087174440054537,-0.45442425249266927,-2.006385971882023,-0.11593627795427944,1.7677350301956672e-05
0.319809,0.0,0.0,-0.016759411621093748,-2.032677209472656,0.0,0.0033307810152563544,0.0,0.0,0.0,-0.034416026546921226,-0.5630222793181575,-2.0141359481064787,-0.07653863616360765,5.8038985896671135e-05
