Time,x_cv,z_cv,ax_imu,ay_imu,theta_cv,w_imu,x_out,vx_out,ax_out,y_out,vy_out,ay_out,theta_out,w_out
0.03283,0.0,0.0,1.0989385620117187,-7.388506323242187,0.0,0.05262634004105039,0.0,0.0,0.0,-9.71531874836595e-05,-0.042362039024230275,-4.2775562893691434,-0.636114232797723,0.027814192527735877
0.147418,0.0,0.0,1.0342951171875,-7.510610607910156,0.0,0.0479632466196915,0.0,0.0,0.0,-0.024091078420754246,-0.6653285226067707,-5.613156442592212,-0.7990107799625598,0.026644606580036617
0.211533,0.0,0.0,1.1731588134765625,-7.390900524902343,0.0,0.03757120985209167,0.0,0.0,0.0,-0.053832647422441475,-1.0941638471661488,-6.234935491644478,-0.9293516429466272,0.02252754622902265
0.27938,0.0,0.0,1.0821791503906248,-7.4220251464843745,0.0,0.04583154676992743,0.0,0.0,0.0,-0.09752314141392004,-1.5493501529598428,-6.616746113370003,-0.9774100008076252,0.026837355326465993
0.42756,0.0,0.0,0.8930372192382812,-7.388506323242187,0.0,0.040502297145517265,0.0,0.0,0.0,-0.26321775521897284,-2.4729380144294644,-6.852787294987152,-0.947689756293044,0.03362379832741241
0.513082,0.0,0.0,0.9361328491210937,-7.338228088378906,0.0,0.03424042883683532,0.0,0.0,0.0,-0.3282528815430986,-2.9543666789571508,-6.99687244734837,-0.9421228539261769,0.03405450494733844
0.598994,0.0,0.0,0.9959878906249999,-7.297526660156249,0.0,0.0058621745868511835,0.0,0.0,0.0,-0.39832262383297345,-3.4071038831477165,-7.083630729953127,-0.9572396632340805,0.02416990572133696
0.658721,0.0,0.0,0.9648632690429687,-7.493851196289062,0.0,-0.008393568158446012,0.0,0.0,0.0,-0.4083731110747325,-3.697488355597061,-7.203183255909172,-0.9592389909307777,0.01432417146921178
0.707555,0.0,0.0,1.0007762939453124,-7.491456994628906,0.0,-0.029310872934255914,0.0,0.0,0.0,-0.40146455944501913,-3.926823437712487,-7.286833887284151,-0.9719917145926243,0.0006575729468839085
0.74916,0.0,0.0,0.86191259765625,-7.42441934814453,0.0,-0.04356661567955311,0.0,0.0,0.0,-0.3871055139298027,-4.1179892533809825,-7.3261737602367205,-0.9397194692164337,-0.01079555181600686
0.796712,0.0,0.0,0.9792284790039062,-7.266402038574219,0.0,-0.028111791768763626,0.0,0.0,0.0,-0.40156541118242106,-4.344915829174246,-7.307068941194115,-0.9521192322880958,-0.01647724210529532
0.828172,0.0,0.0,0.9145850341796874,-7.5153990112304685,0.0,-0.03743797861148142,0.0,0.0,0.0,-0.37146412356471303,-4.483515601133809,-7.367912405589579,-0.9415465918000523,-0.02223913919154665
0.89538,0.0,0.0,0.97683427734375,-7.110778930664062,0.0,-0.05022817771006582,0.0,0.0,0.0,-0.4672375886249511,-4.819953549942045,-7.290147154879841,-0.9535574764551178,-0.031049049654216693
0.913356,0.0,0.0,1.1731588134765625,-7.419630944824219,0.0,-0.08127105677225505,0.0,0.0,0.0,-0.38167842376246097,-4.857464954781353,-7.327771312618025,-1.019816185682186,-0.0481826892323543
0.933589,0.0,0.0,0.9792284790039062,-7.429207751464843,0.0,-0.0014655436467127959,0.0,0.0,0.0,-0.3331340206901691,-4.935000806328664,-7.357374314807627,-1.0080605965226108,-0.03400844675658246
0.939675,0.0,0.0,1.0606313354492187,-7.429207751464843,0.0,-0.0014655436467127959,0.0,0.0,0.0,-0.25317590058277534,-4.939079515988336,-7.378471987432074,-1.023655147781101,-0.024620268655726425
0.958087,0.0,0.0,1.0606313354492187,-7.45075556640625,0.0,0.01971822361031762,0.0,0.0,0.0,-0.2409894028625737,-5.037627476783235,-7.399746347051499,-1.0347221353484508,-0.011664988279160224
1.008362,0.3045158369964885,0.5349961053168417,0.9097966308593749,-7.556100439453124,0.2677311566361289,0.017719755001163805,-0.16493891927558,-0.09383513644705878,-0.07982699118600195,-0.2549203404415402,-5.280218171492884,-7.44545291436665,-0.9977207448489326,-0.0017150067341555261
1.033049,0.3045158369964885,0.5349961053168417,0.9074024291992187,-7.572859851074218,0.2677311566361289,-0.02624655440022007,-0.2802284587546845,-0.1578782935196626,-0.13580630806700283,-0.17530690475940683,-5.3570285766133265,-7.482745351214149,-0.9711283570641249,-0.008215206522299135
1.082428,0.3045158369964885,0.5349961053168417,1.0989385620117187,-7.592013464355468,0.2677311566361289,-0.0860673814342242,-0.36538407832138053,-0.2171864842491099,-0.17517423891401285,-0.21380366413089116,-5.578413620012466,-7.514390351696513,-1.0103131872358442,-0.03273647999271209
1.150689,0.3045158369964885,0.5349961053168417,1.1947066284179686,-7.5345526245117185,0.2677311566361289,-0.1020551303074547,-0.43064954995120364,-0.2725499056366508,-0.20286710908743164,-0.31594761853267217,-5.85116283938857,-7.518902940621738,-1.0679261455839726,-0.056106578781408345
