Time,x_meas,y_meas,theta_meas,x_out,vx_out,y_out,vy_out,theta_out,w_out
0.022035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.033012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.054394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.062522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.072719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.075343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.080542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.099496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.103262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.107462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.112712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.117056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.123277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.128832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.144954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.149624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.181685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.185622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.195393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.199688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.203812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.215945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.220063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.232197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.236516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.240551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.244753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.257275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.261539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.277849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.284215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.287192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.291565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.298376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.319818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.334584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.340802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.347379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.350654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.355412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.360748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.365152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.369594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.37394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.378328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.383733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.388138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.392779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.397197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.401896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.406381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.411096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.415596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.420078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.429932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.434809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.439526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.445251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.450535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.455846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.461131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.466664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.472674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.479742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.485918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.49341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.500845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.533995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.580548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.585225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.594066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.601958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.648607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.71553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.772046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.865549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.905705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.912724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.921101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.930113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.935376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.948048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.951848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.957791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.962428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.966827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.986474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.004367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.013595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.017741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.023378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.030739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.03912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.045005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.056417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.062512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.069335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.072423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.079083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.085491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.090591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.095499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.101743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.106948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.112172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.116604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.122484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.127859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.133512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.137948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.143672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.15047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.155393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.160765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.171753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.177763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.185923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.191479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.196155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.201473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.206316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.211259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.21577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.220103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.22474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.229085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.233621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.237773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.242163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.246687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.250979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.256556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.261137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.265657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.269999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.274373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.278803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.283217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.287674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.292133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.296849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.301397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.30565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.310257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.314691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.319296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.323628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.328137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.332408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.336785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.341222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.345562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.350281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.354592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.359164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.363405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.367712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.372351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.376617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.381206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.385577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.390139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.394495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.399032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.403371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.407665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.412584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.416753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.421608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.425814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.430232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.434662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.439179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.44401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.44855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.453141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.457624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.462097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.467229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.471743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.476544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.481437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.485774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.490194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.494516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.498859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.503092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.507516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.511959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.516536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.520895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.525204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.529614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.533911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.538858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.543058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.547961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.552234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.556475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.561235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.565499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.570161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.575312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.57991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.584124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.588638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.593228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.597575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.602507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.606807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.611401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.61564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.620033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.624367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.628939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.633452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.637831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.642402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.647152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.651673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.655865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.660329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.665056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.669416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.673945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.678225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.682735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.687605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.69249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.696946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.701462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.705923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.710199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
