Time,x_meas,y_meas,theta_meas,x_out,vx_out,y_out,vy_out,theta_out,w_out
0.024926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.060473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.099291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.119431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.169593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.199313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.269246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.299759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.305831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.318611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.32289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.339168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.349182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.355501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.360234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.368555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.378913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.385816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.389448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.392856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.396316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.400044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.403589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.417425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.427366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.433741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.51716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.544789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.58628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.630342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.671444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.676682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.686399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.710643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.715579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.728399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.73913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.746761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.756939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.761512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.769296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.773299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.778778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.796986,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.13518432213786727,-0.056331673858194035,-0.0778462341869932,-0.03243873702187193,0.014417370375509152,0.006007757357082406
0.805259,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.23014984964047874,-0.09430774075381781,-0.13253237365011972,-0.054307351298331315,0.02454541748377089,0.010057894334363979
0.811457,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.2966841904752251,-0.11845210931373365,-0.17084634228338066,-0.06821094706659973,0.03164128643761757,0.01263288452927799
0.81832,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.34347578650698785,-0.13462010929732565,-0.1977914013336228,-0.07752133079419211,0.03663159714659999,0.014357197232913442
0.823642,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.37619737887638555,-0.1449246656826483,-0.2166342131499343,-0.08345523567960339,0.040121345876374434,0.015456175306798381
0.829266,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.3992200552873905,-0.1517388770553739,-0.22989187965415112,-0.0873792165520294,0.04257670791543131,0.016182909055386465
0.834218,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4153285801984976,-0.15616226359640414,-0.2391680145106634,-0.08992643489160473,0.044294677619119996,0.016654662000310332
0.839165,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.42665122691281704,-0.15907528768580143,-0.2456881892898111,-0.09160390718920078,0.04550223474356895,0.016965335209639956
0.84411,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4346119300589955,-0.16100562894495415,-0.25027238035287336,-0.09271549909086794,0.04635124152107741,0.017171205568304395
0.849592,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.44027152953690774,-0.1623131288128588,-0.25353147504221774,-0.09346842620036341,0.04695483623205937,0.01731065006573869
0.854806,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.44422131891474587,-0.1631643409890487,-0.25580597125623067,-0.09395859888727395,0.04737608017118619,0.01740143160769706
0.860327,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4470343253805417,-0.1637015797894267,-0.2574258481520333,-0.09426796921074913,0.04767608652876307,0.017458727976407958
0.865096,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.44892560520138775,-0.16400700682575464,-0.2585149464255488,-0.0944438501429535,0.047877790995890956,0.017491301684925305
0.87,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.45027071649237393,-0.16415538728697338,-0.25928953216825706,-0.09452929540724257,0.04802124674114113,0.017507126419865335
0.876156,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.45136057735020313,-0.16417887315831425,-0.2599171313027431,-0.09454281980571996,0.04813748009865332,0.017509631181514898
0.881676,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4520527900150459,-0.16411418759909943,-0.2603157437184609,-0.09450557046266361,0.0482113043869275,0.017502732484606865
0.891527,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4530365172586463,-0.16387245835711756,-0.2608822255424652,-0.09436637006661494,0.048316218623986745,0.017476952128148895
0.919161,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.45574001337421943,-0.1625308900945178,-0.26243904062581414,-0.09359382458577385,0.048604545733155646,0.017333874245891195
0.922784,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4548911786760609,-0.16169447221300218,-0.2619502370156477,-0.09311217123091035,0.048514017748568394,0.017244670511347104
0.9264,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4543003334830164,-0.161137360070946,-0.2616099973152252,-0.09279135679331092,0.0484510042729819,0.01718525465627091
0.950456,-0.45154775068656444,-0.2600249155424058,0.048157442082943105,-0.4561654766147732,-0.1596283544212264,-0.2626840447101511,-0.09192239206914886,0.04864992126948428,0.017024319623223545
