Time,x_cv,z_cv,ax_imu,ay_imu,theta_cv,w_imu,x_out,vx_out,ax_out,y_out,vy_out,ay_out,theta_out,w_out
0.032195,0.0,0.0,0.0,0.0,0.0,0.0,0.06666260961728826,-0.0009007865144128687,-3.2573855390541184e-08,0.0,0.0,0.0,2.7308921041717575e-10,-2.2704101010064553e-12
0.0604,0.0,0.0,0.0,0.0,0.0,0.0,0.02497148269292014,-0.002421925618703688,-2.0434037617568e-09,0.0,0.0,0.0,3.3941623054803457e-11,-1.4153713341317058e-13
0.084088,0.0,0.0,0.0,0.0,0.0,0.0,0.009480161201821284,-0.0033117271921053776,-3.3191663591141555e-10,0.0,0.0,0.0,5.775022996023573e-12,-2.297607271734749e-14
0.155043,0.0,0.0,0.0,0.0,0.0,0.0,0.0034957781065276822,-0.004427592369469701,-9.986191091957407e-10,0.0,0.0,0.0,1.663714362324715e-11,-6.916702041860649e-14
0.258728,0.0,0.0,0.0,0.0,0.0,0.0,0.0011246219979134517,-0.005141336373678614,-7.000208368366512e-10,0.0,0.0,0.0,1.1773103539435462e-11,-4.8479281500107454e-14
0.272048,0.0,0.0,0.0,0.0,0.0,0.0,0.0004005157017391383,-0.005266456976714652,-1.2974248816411268e-11,0.0,0.0,0.0,2.9068912263475554e-13,-8.945711981850334e-16
0.304799,0.0,0.0,0.0,0.0,0.0,0.0,8.651425921020874e-05,-0.005295890817833454,-5.397088252358221e-12,0.0,0.0,0.0,9.181501463367158e-14,-3.737132931929863e-16
0.308797,0.0,0.0,0.0,0.0,0.0,0.0,2.4922646408704453e-05,-0.005299877658377884,-8.916209748153068e-14,0.0,0.0,0.0,2.051316062989727e-15,-6.144783001532879e-18
0.312619,0.0,0.0,0.0,0.0,0.0,0.0,1.7816758883374757e-06,-0.005300045728198013,-2.4444232955510223e-15,0.0,0.0,0.0,5.465418791808469e-17,-1.685485429096172e-19
0.316297,0.0,0.0,0.0,0.0,0.0,0.0,-6.763888446978041e-06,-0.005299560465385213,5.245474810149538e-15,0.0,0.0,0.0,-8.769987993902356e-17,3.632987045505882e-19
0.338931,0.0,0.0,0.0,0.0,0.0,0.0,-4.827492537344663e-05,-0.00528653360712774,1.3927857127627756e-12,0.0,0.0,0.0,-2.3118773965633306e-14,9.647269260683006e-17
0.34765,0.0,0.0,0.0,0.0,0.0,0.0,-3.5994964939018576e-05,-0.005279166230550077,1.8080426937424493e-13,0.0,0.0,0.0,-3.2201928266090083e-15,1.251165789481876e-17
0.358541,0.0,0.0,0.0,0.0,0.0,0.0,-3.5659226204269554e-05,-0.0052714624800492575,2.4402617880440416e-13,0.0,0.0,0.0,-4.1019570307617105e-15,1.6899918282316334e-17
0.362297,0.0,0.0,0.0,0.0,0.0,0.0,-2.1172424026570895e-05,-0.005268632323730759,2.094329610349418e-14,0.0,0.0,0.0,-3.8213722738976107e-16,1.4487791265142893e-18
